Variable L: j, s
21695003, 56, 12
5596320, 56, 13
13184261, 56, 14
13992742, 56, 15
9589183, 56, 16
439931950, 56, 17
12714106, 56, 18
19867910, 56, 19
15642870, 57, 1
8689063, 57, 2
20999663, 57, 3
17371471, 57, 4
11332251, 57, 5
80064778, 57, 6
7956667, 57, 7
26450780, 57, 8
34214654, 57, 9
439931950, 57, 10
19175135, 57, 11
18841864, 57, 12
18253708, 57, 13
25002806, 57, 14
439931950, 57, 15
17763642, 57, 16
16204163, 57, 17
5881428, 57, 18
439931950, 57, 19
10781713, 58, 1
21387486, 58, 2
44489828, 58, 3
12890967, 58, 4
5692515, 58, 5
37058077, 58, 6
12237553, 58, 7
17246537, 58, 8
18268970, 58, 9
10372454, 58, 10
32859516, 58, 11
6851041, 58, 12
14263689, 58, 13
21381020, 58, 14
28806549, 58, 15
12708667, 58, 16
33033818, 58, 17
32969161, 58, 18
26654723, 58, 19
7944608, 59, 1
14470398, 59, 2
30590019, 59, 3
142298453, 59, 4
11406185, 59, 5
5438390, 59, 6
8028007, 59, 7
10378843, 59, 8
28659846, 59, 9
24405816, 59, 10
25960004, 59, 11
19548325, 59, 12
23713153, 59, 13
439931950, 59, 14
19568135, 59, 15
16499762, 59, 16
17916941, 59, 17
37139822, 59, 18
27273186, 59, 19
439931950, 60, 1
28334653, 60, 2
25711635, 60, 3
15580008, 60, 4
29085326, 60, 5
19767151, 60, 6
20028154, 60, 7
10051112, 60, 8
23387095, 60, 9
10855895, 60, 10
25824816, 60, 11
28562211, 60, 12
20145816, 60, 13
8992649, 60, 14
13679575, 60, 15
7123278, 60, 16
16442582, 60, 17
15666383, 60, 18
11606496, 60, 19
8587145, 61, 1
19157182, 61, 2
13530835, 61, 3
16817454, 61, 4
18539509, 61, 5
19279671, 61, 6
18389607, 61, 7
414833193, 61, 8
38703222, 61, 9
17604462, 61, 10
30545698, 61, 11
20866944, 61, 12
12497684, 61, 13
17015211, 61, 14
19581839, 61, 15
19639531, 61, 16
13624632, 61, 17
10011882, 61, 18
10108765, 61, 19
11688642, 62, 1
9492988, 62, 2
14165885, 62, 3
33690743, 62, 4
353283752, 62, 5
21359073, 62, 6
25573098, 62, 7
26766866, 62, 8
14599763, 62, 9
17253496, 62, 10
45582641, 62, 11
14301884, 62, 12
7244825, 62, 13
11471577, 62, 14
7449681, 62, 15
12491472, 62, 16
18535798, 62, 17
15427497, 62, 18
36066702, 62, 19
22334499, 63, 1
7267519, 63, 2
18924306, 63, 3
10872805, 63, 4
28806231, 63, 5
28093232, 63, 6
12537963, 63, 7
22195119, 63, 8
24817886, 63, 9
14616001, 63, 10
16989962, 63, 11
11408459, 63, 12
16876151, 63, 13
7223514, 63, 14
7392784, 63, 15
17039651, 63, 16
6390609, 63, 17
13977218, 63, 18
13105980, 63, 19
24121004, 64, 1
19993244, 64, 2
30897327, 64, 3
16551905, 64, 4
30889872, 64, 5
18833284, 64, 6
10244781, 64, 7
6662198, 64, 8
36755919, 64, 9
11351408, 64, 10
21702368, 64, 11
22365263, 64, 12
21117811, 64, 13
21191310, 64, 14
12750736, 64, 15
11119865, 64, 16
8129772, 64, 17
13874844, 64, 18
18445864, 64, 19
11772380, 65, 1
30428674, 65, 2
18152594, 65, 3
18041916, 65, 4
17507132, 65, 5
14286669, 65, 6
7123319, 65, 7
20431016, 65, 8
22286806, 65, 9
22857770, 65, 10
17051329, 65, 11
16285577, 65, 12
9737138, 65, 13
11727354, 65, 14
24440410, 65, 15
12278677, 65, 16
10491663, 65, 17
27504494, 65, 18
19160638, 65, 19
166009440, 66, 1
439931950, 66, 2
12692073, 66, 3
8219778, 66, 4
11863372, 66, 5
23010741, 66, 6
16743150, 66, 7
23425055, 66, 8
29520145, 66, 9
32343497, 66, 10
21944903, 66, 11
13937956, 66, 12
16194672, 66, 13
10417022, 66, 14
12176335, 66, 15
29488593, 66, 16
18816793, 66, 17
12665171, 66, 18
14669181, 66, 19
20057472, 67, 1
21672880, 67, 2
38445678, 67, 3
21582972, 67, 4
21625602, 67, 5
13386113, 67, 6
16320790, 67, 7
15413229, 67, 8
32370841, 67, 9
7970755, 67, 10
40604675, 67, 11
23597409, 67, 12
9589183, 67, 13
10663936, 67, 14
166665790, 67, 15
8771124, 67, 16
19512880, 67, 17
13023925, 67, 18
26012122, 67, 19
7408753, 68, 1
5942268, 68, 2
27901277, 68, 3
12420477, 68, 4
29810606, 68, 5
19539233, 68, 6
9421825, 68, 7
12136027, 68, 8
24031587, 68, 9
12226670, 68, 10
7312885, 68, 11
7875722, 68, 12
15628497, 68, 13
25480221, 68, 14
20319329, 68, 15
26248976, 68, 16
21763661, 68, 17
439931950, 68, 18
35558135, 68, 19
16411538, 69, 1
5022212, 69, 2
20577972, 69, 3
21237850, 69, 4
41924517, 69, 5
8084011, 69, 6
6858314, 69, 7
21734186, 69, 8
27946168, 69, 9
5438063, 69, 10
10751885, 69, 11
23808783, 69, 12
20956418, 69, 13
12391616, 69, 14
12533224, 69, 15
9710362, 69, 16
25176387, 69, 17
17864649, 69, 18
20155792, 69, 19
16936277, 70, 1
17154137, 70, 2
9359038, 70, 3
439931950, 70, 4
16100436, 70, 5
7010212, 70, 6
30676433, 70, 7
24621791, 70, 8
16225354, 70, 9
9986452, 70, 10
11472090, 70, 11
22764679, 70, 12
24563049, 70, 13
24795649, 70, 14
17989761, 70, 15
13155751, 70, 16
18126800, 70, 17
32750358, 70, 18
12539250, 70, 19
